PATIENT ID,SECESSION CIVIL WAR BINARY,SECESSION CIVIL WAR YES/NO,GENDER BINARY,GENDER,AGE,AGE 60 PLUS,60 PLUS YES/NO,1ST AMENDMENT LOSS YES/NO,1ST AMENDMENT LOSS BINARY,2ND AMENDMENT LOSS YES/NO,2ND AMENDMENT LOSS BINARY,PARTISANSHIP YES/NO,PARTISANSHIP BINARY,HIGHER TAXES YES/NO,HIGHER TAXES BINARY,VOTER FRAUD YES/NO,VOTER FRAUD BINARY,BIG TECH YES/NO,BIG TECH BINARY,DYSFUNCTIONAL GOV BINARY,DYSFUNCTIONAL GOV YES/NO,OLIGARCHY BINARY,OLIGARCHY YES/NO,BORDER LOSS BINARY,BORDER LOSS YES/NO,SCANDALS IN BIDEN WH BINARY,SCANDALS IN BIDEN WH YES/NO,LOSS OF ENERGY BINARY,LOSS OF ENERGY YES/NO,COVID ISSUES BINARY,COVID ISSUES YES/NO,JOB LOSS BINARY,JOB LOSS YES/NO,1619 VS 1776 BINARY,1619 VS 1776 YES/NO
P11,1,Yes,1,Male,52,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P12,0,No,0,Female,27,0,No,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P13,0,No,1,Male,48,0,No,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P14,0,No,0,Female,44,0,No,Yes,1,No,0,No,0,No,0,No,0,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P15,0,No,0,Female,81,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P16,1,Yes,0,Female,59,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,no,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P17,1,Yes,0,Female,82,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P18,1,Yes,0,Female,39,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,no,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P19,1,Yes,0,Female,64,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P20,1,Yes,0,Female,64,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P21,1,Yes,0,Female,50,0,No,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P22,1,Yes,0,Female,87,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P23,1,Yes,1,Male,53,0,No,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P24,1,Yes,1,Male,50,0,Yes,Yes,1,No,0,No,0,Yes,1,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P25,1,Yes,1,Male,58,0,No,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P26,1,Yes,0,Female,79,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P27,0,No,0,Female,54,0,No,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P28,1,Yes,1,Male,38,0,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P29,1,Yes,1,Male,52,0,No,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P30,1,Yes,1,Male,40,0,No,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P31,1,Yes,0,Female,32,0,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P32,0,No,1,Male,48,0,No,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P33,1,Yes,1,Male,41,0,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P34,1,Yes,1,Male,55,0,Yes,Yes,1,Yes,1,No,0,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P35,1,Yes,1,Male,79,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P36,0,No,1,Male,57,0,No,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P37,1,Yes,0,Female,74,1,Yes,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No
P38,1,Yes,0,Female,52,0,No,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P39,1,Yes,1,Male,51,0,No,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P40,1,Yes,0,Female,44,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P41,1,Yes,1,Male,61,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P42,1,Yes,1,Male,81,1,Yes,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P43,1,Yes,1,Male,49,0,Yes,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P44,0,No,1,Male,81,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes
P45,0,No,1,Male,45,0,No,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P46,0,No,1,Male,71,1,Yes,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P47,1,Yes,0,Female,59,0,No,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P48,1,Yes,0,Female,67,1,Yes,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P49,1,Yes,0,Female,49,0,Yes,Yes,1,Yes,1,No,0,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P50,1,Yes,0,Female,69,1,Yes,Yes,1,Yes,1,No,0,No,0,No,0,Yes,1,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes
P51,1,Yes,1,Male,43,0,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P52,1,Yes,1,Male,69,1,Yes,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P53,1,Yes,1,Male,75,1,Yes,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P54,0,No,0,Female,74,1,Yes,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P55,0,No,0,Female,71,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P56,1,Yes,0,Female,82,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P57,1,Yes,0,Female,72,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P58,1,Yes,0,Female,66,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P59,1,Yes,0,Female,26,0,No,Yes,1,Yes,1,No,0,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P60,1,Yes,1,Male,42,0,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P61,1,Yes,1,Male,43,0,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,No,1,No
P62,1,Yes,1,Male,61,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P63,1,Yes,1,Male,62,1,Yes,Yes,1,No,0,No,0,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P64,1,Yes,0,Female,32,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P65,1,Yes,0,Female,80,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P66,0,No,1,Male,55,0,No,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P67,1,Yes,1,Male,38,0,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P68,1,Yes,1,Male,49,0,Yes,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,0,No,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No
P69,1,Yes,0,Female,84,1,Yes,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P70,1,Yes,1,Male,61,1,Yes,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P71,0,No,1,Male,39,0,No,Yes,1,Yes,1,No,0,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P72,0,No,0,Female,67,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P73,1,Yes,0,Female,74,1,Yes,Yes,1,No,0,No,0,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P74,1,Yes,1,Male,29,0,Yes,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P75,1,Yes,0,Female,71,1,Yes,No,0,Yes,1,No,0,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P76,1,Yes,0,Female,67,1,Yes,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P77,0,No,1,Male,69,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0,No,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No
P78,1,Yes,1,Male,62,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P79,0,No,1,Male,68,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P80,0,No,0,Female,60,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P81,1,Yes,1,Male,43,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P82,1,Yes,0,Female,50,0,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P83,1,Yes,0,Female,43,0,Yes,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P84,1,Yes,1,Male,60,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P85,1,Yes,0,Female,28,0,No,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P86,1,Yes,0,Female,79,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P87,1,Yes,0,Female,32,0,No,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P88,1,Yes,1,Male,61,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P89,0,No,0,Female,47,0,No,Yes,1,Yes,1,No,0,No,0,No,0,No,0,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P90,0,No,0,Female,50,0,No,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes
P91,1,Yes,1,Male,71,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P92,0,No,1,Male,36,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P93,1,Yes,0,Female,88,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P94,1,Yes,1,Male,60,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P95,1,Yes,0,Female,53,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P96,1,Yes,1,Male,46,0,No,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P97,1,Yes,1,Male,57,0,Yes,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P98,1,Yes,1,Male,56,0,Yes,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P99,1,Yes,0,Female,40,0,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P100,1,Yes,1,Male,50,0,Yes,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,0,No,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No
P101,1,Yes,1,Male,46,0,Yes,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P102,1,Yes,1,Male,47,0,No,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P103,1,Yes,1,Male,69,1,Yes,No,0,Yes,1,No,0,No,0,No,0,Yes,1,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P104,1,Yes,1,Male,58,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P105,1,Yes,1,Male,71,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P106,1,Yes,1,Male,61,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P107,1,Yes,1,Male,57,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No
P108,1,Yes,0,Female,76,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P109,1,Yes,1,Male,49,0,No,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P110,1,Yes,1,Male,38,0,Yes,No,0,Yes,1,No,0,Yes,1,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P111,0,No,0,Female,34,0,No,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,1,Yes,0,No,1,Yes,1,Yes,0,Yes,1,Yes,1,Yes,1,Yes
P112,0,No,1,Male,34,0,No,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P113,0,No,1,Male,61,0,No,No,0,Yes,1,No,0,No,0,No,0,No,0,1,Yes,0,No,1,Yes,1,Yes,0,Yes,1,Yes,1,Yes,1,Yes
P114,0,No,0,Female,80,1,No,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P115,0,No,0,Female,50,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P116,0,No,0,Female,71,1,No,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P117,0,No,1,Male,60,0,No,Yes,1,No,0,No,0,No,0,Yes,1,No,0,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P118,1,Yes,0,Female,65,1,Yes,Yes,1,No,0,No,0,No,0,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P119,1,Yes,0,Female,43,0,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P120,1,Yes,0,Female,62,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P121,1,Yes,1,Male,38,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P122,1,Yes,1,Male,41,0,No,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P123,1,Yes,1,Male,58,0,Yes,Yes,1,Yes,1,No,0,No,0,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P124,1,Yes,1,Male,32,0,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No
P125,1,Yes,0,Female,64,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P126,1,Yes,1,Male,71,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P127,1,Yes,1,Male,54,0,No,Yes,1,No,0,No,0,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P128,1,Yes,1,Male,41,0,No,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P129,1,Yes,1,Male,65,1,Yes,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P130,1,Yes,0,Female,43,0,No,No,0,Yes,1,No,0,No,0,Yes,1,No,0,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P131,0,No,0,Female,33,0,No,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P132,0,No,1,Male,37,0,No,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P133,1,Yes,0,Female,48,0,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P134,0,No,0,Female,40,0,No,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P135,1,Yes,1,Male,75,1,Yes,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P136,1,Yes,1,Male,59,0,Yes,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P137,0,No,0,Female,55,0,No,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P138,1,Yes,1,Male,61,1,Yes,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
